2026-06-11 07:10:40 | INFO     | backlink_automation | CaptchaService initialized with provider=stub
2026-06-11 07:10:40 | INFO     | backlink_automation | Starting Playwright Worker Orchestrator... Max Concurrent Sessions: 5
2026-06-11 07:12:33 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-11 07:12:33 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-11 07:12:34 | INFO     | backlink_automation | [TaskRun 93e2027d-b4ff-488a-8f10-6dd2a785dd92] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-11 07:12:34 | INFO     | backlink_automation | [TaskRun 93e2027d-b4ff-488a-8f10-6dd2a785dd92] Routing to template: pligg
2026-06-11 07:12:34 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://livebookmarking.com for client_site=https://youtube.com, keyword=Taigun price in kerala
2026-06-11 07:12:34 | INFO     | backlink_automation | Navigating to home page
2026-06-11 07:12:35 | INFO     | backlink_automation | [TaskRun 93e2027d-b4ff-488a-8f10-6dd2a785dd92] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-11 07:12:39 | INFO     | backlink_automation | [TaskRun 93e2027d-b4ff-488a-8f10-6dd2a785dd92] Routing to template: pligg
2026-06-11 07:12:39 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://livebookmarking.com for client_site=https://youtube.com, keyword=Taigun price in kerala
2026-06-11 07:12:39 | INFO     | backlink_automation | Navigating to home page
2026-06-11 07:12:39 | ERROR    | backlink_automation | Automation failed: Page.goto: Connection closed while reading from the driver
2026-06-11 07:12:39 | ERROR    | backlink_automation | [TaskRun 93e2027d-b4ff-488a-8f10-6dd2a785dd92] Execution failed: Page.goto: Connection closed while reading from the driver
2026-06-11 07:12:40 | INFO     | backlink_automation | Not logged in. Starting registration flow.
2026-06-11 07:12:40 | INFO     | backlink_automation | Registration started with username=backlinkxv94inna
2026-06-11 07:12:57 | INFO     | backlink_automation | Registration attempt 1/3
2026-06-11 07:13:05 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-11 07:13:06 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-11 07:13:28 | INFO     | backlink_automation | 2captcha predicted: 'up and away'
2026-06-11 07:13:34 | INFO     | backlink_automation | Registration successful, redirected to user page.
2026-06-11 07:13:34 | INFO     | backlink_automation | Registration flow finished
2026-06-11 07:13:34 | INFO     | backlink_automation | Bookmark submission started: url=https://youtube.com, keyword=Taigun price in kerala
2026-06-11 07:13:36 | INFO     | backlink_automation | Step 1: Submitting URL
2026-06-11 07:13:42 | INFO     | backlink_automation | Step 2: Filling Article Details
2026-06-11 07:13:47 | INFO     | backlink_automation | Solving captcha on submit page... (Attempt 1/3)
2026-06-11 07:13:47 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-11 07:13:47 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-11 07:13:59 | INFO     | backlink_automation | 2captcha predicted: 'hearhear'
2026-06-11 07:14:01 | INFO     | backlink_automation | Bookmark form submitted. Waiting for result...
2026-06-11 07:14:06 | WARNING  | backlink_automation | Invalid captcha detected on submit. Retrying...
2026-06-11 07:14:12 | INFO     | backlink_automation | Solving captcha on submit page... (Attempt 2/3)
2026-06-11 07:14:12 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-11 07:14:13 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-11 07:14:34 | INFO     | backlink_automation | 2captcha predicted: 'there is no spoon'
2026-06-11 07:14:36 | INFO     | backlink_automation | Bookmark form submitted. Waiting for result...
2026-06-11 07:14:44 | INFO     | backlink_automation | Bookmark submitted. Extracted backlink: https://livebookmarking.com/story21610475/taigun-price-in-kerala
2026-06-11 07:14:44 | INFO     | backlink_automation | Successfully created backlink: https://livebookmarking.com/story21610475/taigun-price-in-kerala
2026-06-11 07:14:45 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-11 07:14:45 | INFO     | backlink_automation | [TaskRun 93e2027d-b4ff-488a-8f10-6dd2a785dd92] Executing step 2/2: Verification & Reporting on https://livebookmarking.com
2026-06-11 07:14:45 | INFO     | backlink_automation | [TaskRun 93e2027d-b4ff-488a-8f10-6dd2a785dd92] Intercepted Reporting Step.
2026-06-11 07:46:10 | INFO     | backlink_automation | Found 2 pending workflow runs. Starting concurrent sessions...
2026-06-11 07:46:11 | INFO     | backlink_automation | Found 2 pending workflow runs. Starting concurrent sessions...
2026-06-11 07:46:11 | INFO     | backlink_automation | [TaskRun db29c0c6-c15b-4008-bae2-10481e18e589] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-11 07:46:11 | INFO     | backlink_automation | [TaskRun db29c0c6-c15b-4008-bae2-10481e18e589] Routing to template: pligg
2026-06-11 07:46:11 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://livebookmarking.com for client_site=https://twitter.com, keyword=Taigun price in kerala
2026-06-11 07:46:11 | INFO     | backlink_automation | Navigating to home page
2026-06-11 07:46:11 | INFO     | backlink_automation | [TaskRun 8b518708-6250-4e4a-812d-656387edc377] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-11 07:46:11 | INFO     | backlink_automation | [TaskRun 8b518708-6250-4e4a-812d-656387edc377] Routing to template: pligg
